dataset,levenshtein_accuracy,bert_accuracy
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac3_av,0.6875,0.25
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac1_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac3_ev,0.8333333333333334,0.16666666666666666
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac3_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac5_ev,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac2_ev,0.7222222222222222,0.3888888888888889
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac2_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac4_ev,0.2857142857142857,0.14285714285714285
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac2_av,0.625,0.3125
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ec_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac2_ev,0.625,0.25
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ec_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac2_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac2_av,0.6111111111111112,0.4444444444444444
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac4_av,0.35714285714285715,0.42857142857142855
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac3_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac3_av,0.8333333333333334,0.16666666666666666
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac5_av,0.2857142857142857,0.07142857142857142
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac3_ev,0.6875,0.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac1_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ec_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac4_ev,0.25,0.1875
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac4_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac4_av,0.3333333333333333,0.16666666666666666
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ec_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac2_av,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac5_av,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac1_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac5_av,0.6666666666666666,0.16666666666666666
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ec_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac3_av,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac1_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac5_ev,0.625,0.125
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac1_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac5_av,0.625,0.125
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac1_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac1_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac1_av,0.6875,0.6875
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac5_ev,0.7222222222222222,0.2222222222222222
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac5_ev,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ec_av,0.6875,0.6875
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac3_ev,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac4_ev,0.3888888888888889,0.3333333333333333
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_1_ac4_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac2_ev,0.42857142857142855,0.14285714285714285
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ec_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac4_av,0.25,0.25
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ec_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac4_ev,0.3333333333333333,0.16666666666666666
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac2_ev,0.5,0.3125
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ec_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac2_ev,0.42857142857142855,0.21428571428571427
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ac4_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac1_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ac5_ev,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ec_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac5_ev,0.6666666666666666,0.2222222222222222
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac3_ev,0.6875,0.25
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ac1_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac3_ev,0.42857142857142855,0.14285714285714285
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac1_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac1_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ac2_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ec_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac3_ev,0.8333333333333334,0.16666666666666666
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac5_ev,0.5625,0.1875
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac5_ev,0.21428571428571427,0.07142857142857142
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac2_ev,0.7222222222222222,0.3888888888888889
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ec_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac4_ev,0.3125,0.125
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac4_ev,0.21428571428571427,0.14285714285714285
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ac3_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac1_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ac4_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac5_ev,0.7222222222222222,0.16666666666666666
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac3_ev,0.6875,0.25
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac3_ev,0.42857142857142855,0.2857142857142857
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ec_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac4_ev,0.3333333333333333,0.16666666666666666
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac2_ev,0.6875,0.125
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac2_ev,0.35714285714285715,0.2857142857142857
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ac1_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_1_ac5_ev,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac2_ev,0.7777777777777778,0.4444444444444444
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac4_ev,0.4375,0.3125
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ec_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac4_ev,0.21428571428571427,0.21428571428571427
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ac2_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac1_ev,0.6875,0.6875
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ac3_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac1_ev,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac3_ev,0.8333333333333334,0.3333333333333333
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ec_ev,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_1_ec_ev,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac5_ev,0.625,0.0625
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac5_ev,0.35714285714285715,0.14285714285714285
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ac3_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ac4_av,0.375,0.1875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ec_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac2_av,0.7222222222222222,0.3333333333333333
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ac4_av,0.2857142857142857,0.2857142857142857
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ac5_av,0.625,0.3125
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ec_av,0.6875,0.6875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac3_av,0.8333333333333334,0.2777777777777778
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ac5_av,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ac1_av,0.6875,0.6875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ac2_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ac1_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ac3_av,0.6875,0.1875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ec_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ac5_av,0.8333333333333334,0.1111111111111111
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ac3_av,0.42857142857142855,0.07142857142857142
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ac1_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ac1_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ac5_av,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ac4_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ac2_av,0.5625,0.125
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ac4_av,0.4444444444444444,0.2777777777777778
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ac2_av,0.35714285714285715,0.2857142857142857
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ec_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ac5_av,0.625,0.25
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ec_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ec_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ac3_av,0.8333333333333334,0.2222222222222222
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ac5_av,0.42857142857142855,0.0
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ac1_av,0.6875,0.6875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ac1_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ac3_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_1_ac2_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_50_ac4_av,0.4375,0.375
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ec_av,0.6875,0.6875
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_70_ac2_av,0.7777777777777778,0.2777777777777778
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ac4_av,0.2857142857142857,0.35714285714285715
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ac5_av,0.09090909090909091,0.0
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ac2_av,0.5,0.4375
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac4_av,0.2777777777777778,0.2777777777777778
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ac1_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ac2_av,0.2857142857142857,0.14285714285714285
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_50_ac3_av,0.6875,0.3125
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac5_av,0.7222222222222222,0.16666666666666666
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_30_ec_av,0.42857142857142855,0.42857142857142855
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_30_ac3_av,0.42857142857142855,0.14285714285714285
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac1_av,0.8333333333333334,0.8333333333333334
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_vertical_1_ac4_av,0.09090909090909091,0.09090909090909091
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac3_ev,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac3_av,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac4_av,0.4090909090909091,0.36363636363636365
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac5_av,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac2_ev,0.8181818181818182,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac2_av,0.6818181818181818,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac2_av,0.8181818181818182,0.3181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac2_ev,0.8181818181818182,0.4090909090909091
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac5_ev,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac4_ev,0.5909090909090909,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac3_av,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac3_ev,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac4_av,0.4090909090909091,0.36363636363636365
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac4_ev,0.5909090909090909,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac3_ev,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac2_ev,0.8181818181818182,0.36363636363636365
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac5_av,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac5_ev,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac5_ev,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac5_av,0.8636363636363636,0.18181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac2_av,0.7727272727272727,0.4090909090909091
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac3_av,1.0,0.2727272727272727
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac4_ev,0.45454545454545453,0.3181818181818182
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac4_av,0.5909090909090909,0.36363636363636365
